1197,864,108
1147,827,125
1139,764,125
1201,748,125
1254,758,125
1295,810,125
1300,873,125
1246,902,125
1189,880,125
1156,815,142
1149,746,142
1211,737,142
1275,728,142
1332,780,142
1331,864,142
1255,890,142
1193,870,142
1190,811,159
1229,763,159
1266,708,159
1325,724,159
1352,778,159
1343,842,159
1289,870,159
1223,856,159
1214,770,176
1209,701,176
1254,666,176
1305,685,176
1347,731,176
1355,791,176
1309,832,176
1242,820,176
1229,748,193
1213,704,193
1222,664,193
1271,663,193
1309,684,193
1336,728,193
1322,790,193
1247,776,193
1274,706,212
