521,513,327
486,396,327
557,286,327
706,217,327
804,186,327
892,234,327
824,328,327
700,372,327
613,470,327
558,462,341
516,370,341
573,276,341
720,188,341
822,168,341
848,200,341
940,224,341
881,277,341
768,356,341
644,413,341
561,392,355
574,300,355
650,225,355
798,150,355
856,176,355
870,226,355
856,300,355
781,341,355
716,381,355
922,200,355
969,228,355
938,264,355
888,226,355
593,325,369
668,213,369
788,145,369
868,150,369
881,201,369
804,284,369
734,366,369
686,400,369
632,386,369
933,229,369
974,212,369
1004,240,369
973,262,369
674,389,383
628,329,383
688,212,383
825,144,383
920,161,383
961,196,383
913,230,383
821,254,383
769,309,383
678,369,397
657,282,397
737,182,397
804,165,397
877,189,397
968,185,397
1010,229,397
1064,316,397
984,280,397
924,238,397
898,260,397
856,250,397
796,305,397
713,348,411
693,289,411
746,217,411
825,221,411
906,210,411
978,246,411
1069,333,411
964,304,411
882,265,411
745,305,425
817,273,425
822,241,425
890,248,425
960,290,425
1009,362,425
916,325,425
866,320,425
798,334,425
869,329,439
894,352,439
938,353,439
901,332,439
