1269,845,33
1176,869,45
1260,854,45
1353,813,45
1329,870,45
1249,889,45
1108,841,57
1240,872,57
1376,792,57
1364,870,57
1274,924,57
1165,920,57
1109,833,69
1241,858,69
1321,822,69
1368,764,69
1394,840,69
1346,910,69
1250,948,69
1148,918,69
1132,840,81
1222,861,81
1325,788,81
1409,693,81
1420,814,81
1362,902,81
1277,946,81
1184,929,81
1168,826,93
1262,837,93
1344,764,93
1414,686,93
1436,769,93
1398,873,93
1313,942,93
1209,913,93
1246,849,105
1313,805,105
1374,729,105
1420,678,105
1433,788,105
1384,886,105
1329,929,105
1264,909,105
1296,817,117
1349,784,117
1390,716,117
1430,677,117
1444,746,117
1417,841,117
1369,890,117
1310,925,117
1294,865,117
1322,904,129
1322,846,129
1336,792,129
1380,734,129
1420,701,129
1428,805,129
1385,862,129
1360,862,141
1354,781,141
1412,718,141
1414,796,141
1392,766,153
