892,803,122
790,783,141
811,737,141
862,719,141
929,727,141
930,764,141
923,787,141
898,835,141
861,855,141
806,834,141
755,769,160
773,714,160
836,694,160
894,712,160
911,773,160
862,826,160
820,846,160
767,813,160
742,746,179
758,703,179
812,687,179
890,692,179
898,747,179
867,787,179
820,808,179
763,794,179
738,713,198
771,677,198
825,651,198
882,654,198
895,706,198
860,749,198
819,768,198
761,759,198
747,687,217
778,655,217
826,630,217
871,623,217
891,656,217
868,697,217
822,731,217
769,731,217
826,661,235
