1412,832,440,,-353,-350.3157894737,-470
1456,748,440,,-364,-314.9473684211,-470
1536,697,440,,-384,-293.4736842105,-470
1604,758,440,,-401,-319.1578947368,-470
1612,848,440,,-403,-357.0526315789,-470
1562,929,440,,-390.5,-391.1578947368,-470
1482,961,440,,-370.5,-404.6315789474,-470
1414,914,440,,-353.5,-384.8421052632,-470
1414,818,456,,-353.5,-344.4210526316,-454
1456,730,456,,-364,-307.3684210526,-454
1526,681,456,,-381.5,-286.7368421053,-454
1602,728,456,,-400.5,-306.5263157895,-454
1625,837,456,,-406.25,-352.4210526316,-454
1580,925,456,,-395,-389.4736842105,-454
1512,960,456,,-378,-404.2105263158,-454
1426,924,456,,-356.5,-389.0526315789,-454
1422,782,472,,-355.5,-329.2631578947,-438
1474,696,472,,-368.5,-293.0526315789,-438
1566,670,472,,-391.5,-282.1052631579,-438
1626,760,472,,-406.5,-320,-438
1632,852,472,,-408,-358.7368421053,-438
1566,941,472,,-391.5,-396.2105263158,-438
1476,972,472,,-369,-409.2631578947,-438
1420,909,472,,-355,-382.7368421053,-438
1437,770,488,,-359.25,-324.2105263158,-422
1474,678,488,,-368.5,-285.4736842105,-422
1550,634,488,,-387.5,-266.9473684211,-422
1622,693,488,,-405.5,-291.7894736842,-422
1632,804,488,,-408,-338.5263157895,-422
1604,898,488,,-401,-378.1052631579,-422
1536,960,488,,-384,-404.2105263158,-422
1425,966,488,,-356.25,-406.7368421053,-422
1414,765,504,,-353.5,-322.1052631579,-406
1458,657,504,,-364.5,-276.6315789474,-406
1558,602,504,,-389.5,-253.4736842105,-406
1633,680,504,,-408.25,-286.3157894737,-406
1640,792,504,,-410,-333.4736842105,-406
1573,914,504,,-393.25,-384.8421052632,-406
1453,1014,504,,-363.25,-426.9473684211,-406
1388,917,504,,-347,-386.1052631579,-406
1402,780,520,,-350.5,-328.4210526316,-390
1428,642,520,,-357,-270.3157894737,-390
1526,556,520,,-381.5,-234.1052631579,-390
1617,633,520,,-404.25,-266.5263157895,-390
1624,812,520,,-406,-341.8947368421,-390
1560,914,520,,-390,-384.8421052632,-390
1490,1006,520,,-372.5,-423.5789473684,-390
1380,961,520,,-345,-404.6315789474,-390
1418,741,536,,-354.5,-312,-374
1410,644,536,,-352.5,-271.1578947368,-374
1482,514,536,,-370.5,-216.4210526316,-374
1594,566,536,,-398.5,-238.3157894737,-374
1638,746,536,,-409.5,-314.1052631579,-374
1581,889,536,,-395.25,-374.3157894737,-374
1500,982,536,,-375,-413.4736842105,-374
1397,937,536,,-349.25,-394.5263157895,-374
1440,702,552,,-360,-295.5789473684,-358
1404,593,552,,-351,-249.6842105263,-358
1426,464,552,,-356.5,-195.3684210526,-358
1544,482,552,,-386,-202.9473684211,-358
1630,622,552,,-407.5,-261.8947368421,-358
1618,786,552,,-404.5,-330.9473684211,-358
1568,865,552,,-392,-364.2105263158,-358
1468,852,552,,-367,-358.7368421053,-358
1448,649,568,,-362,-273.2631578947,-342
1396,540,568,,-349,-227.3684210526,-342
1412,437,568,,-353,-184,-342
1472,336,568,,-368,-141.4736842105,-342
1513,442,568,,-378.25,-186.1052631579,-342
1620,561,568,,-405,-236.2105263158,-342
1638,722,568,,-409.5,-304,-342
1554,797,568,,-388.5,-335.5789473684,-342
1426,448,584,,-356.5,-188.6315789474,-326
1445,364,584,,-361.25,-153.2631578947,-326
1510,304,584,,-377.5,-128,-326
1556,340,584,,-389,-143.1578947368,-326
1586,401,584,,-396.5,-168.8421052632,-326
1624,453,584,,-406,-190.7368421053,-326
1652,505,584,,-413,-212.6315789474,-326
1650,613,584,,-412.5,-258.1052631579,-326
1624,713,584,,-406,-300.2105263158,-326
1565,724,584,,-391.25,-304.8421052632,-326
1489,610,584,,-372.25,-256.8421052632,-326
1420,517,584,,-355,-217.6842105263,-326
1561,376,600,,-390.25,-158.3157894737,-310
1596,372,600,,-399,-156.6315789474,-310
1629,406,600,,-407.25,-170.9473684211,-310
1662,466,600,,-415.5,-196.2105263158,-310
1664,513,600,,-416,-216,-310
1628,504,600,,-407,-212.2105263158,-310
1596,458,600,,-399,-192.8421052632,-310
1553,418,600,,-388.25,-176,-310
