SegmentName:,X-coord:,Y-coord:,Z-coord:,Area:,Elasticity:,Thickness:,Radius:,Type:,BC:,Total Nodes:
left_popliteal_artery,69.55,-77.117,453.7,71.9877471753087,400000,0.0018,4.7869,Artery,,
left_popliteal_artery,72.948,-65.117,424.05,65.2276428134933,400000,0.0018,4.5566,Artery,,
left_popliteal_artery,73.586,-59.665,402.81,60.7687176854799,400000,0.0018,4.3981,Artery,,
left_popliteal_artery,76.343,-58.526,373.09,54.8150251290829,400000,0.0018,4.1771,Artery,,
left_popliteal_artery,81.077,-66.415,343.7,49.0464861998842,400000,0.0018,3.9512,Artery,,
left_popliteal_artery,91.638,-73.606,315.33,43.5798599167304,400000,0.0018,3.7245,Artery,,
left_popliteal_artery,90.559,-65.147,299.34,40.6155759564918,400000,0.0018,3.5956,Artery,,
left_popliteal_artery,88.126,-56.133,286.66,35.6131433613552,400000,0.0018,3.3669,Artery,bifurcation,
left_posterior_tibial_artery,77.971,-58.109,262.17,25.4370680944697,400000,0.0018,2.8455,Artery,,
left_posterior_tibial_artery,68.534,-60.947,230.45,22.3206710139617,400000,0.0018,2.6655,Artery,,
left_posterior_tibial_artery,62.636,-64.557,183.2,18.2724355807212,400000,0.0018,2.4117,Artery,,
left_posterior_tibial_artery,60.263,-63.643,130.06,14.1662337417832,400000,0.0018,2.1235,Artery,,
left_posterior_tibial_artery,53.974,-53.42,66.313,9.88906024169945,400000,0.0018,1.7742,Artery,,
left_posterior_tibial_artery,56.898,-62.16,-0.06469,6.21748279240465,400000,0.0018,1.4068,Artery,,
left_posterior_tibial_artery,53.183,-60.528,-11.274,5.65873850666384,400000,0.0018,1.3421,Artery,,
left_posterior_tibial_artery,45.834,-56.976,-24.489,4.92131293432561,400000,0.0018,1.2516,Artery,,
left_posterior_tibial_artery,55.49,-68.299,-33.011,4.26531219710869,400000,0.0018,1.1652,Artery,,
left_posterior_tibial_artery,67.457,-85.747,-40.035,2.58619500000286,400000,0.0018,0.90731,Artery,terminal,
left_anterior_tibial_artery,102.12,-76.51,291.08,36.2228754445364,400000,0.0018,3.3956,Artery,,
left_anterior_tibial_artery,96.991,-85.181,270.11,34.7782469866741,400000,0.0018,3.3272,Artery,,
left_anterior_tibial_artery,92.187,-91.816,254.55,33.6071198361188,400000,0.0018,3.2707,Artery,,
left_anterior_tibial_artery,92.515,-94.307,230.85,32.1317183472413,400000,0.0018,3.1981,Artery,,
left_anterior_tibial_artery,92.994,-94.639,205.91,30.6678359162352,400000,0.0018,3.1244,Artery,,
left_anterior_tibial_artery,91.954,-93.713,178.4,29.0505360071059,400000,0.0018,3.0409,Artery,,
left_anterior_tibial_artery,90.012,-90.922,143.8,26.9665769508767,400000,0.0018,2.9298,Artery,,
left_anterior_tibial_artery,87.342,-89.11,101.54,24.5755785463831,400000,0.0018,2.7969,Artery,,
left_anterior_tibial_artery,79.264,-94.82,52.204,21.8774015896545,400000,0.0018,2.6389,Artery,,
left_anterior_tibial_artery,70.771,-91.9,6.5887,15.9297698880526,400000,0.0018,2.2518,Artery,terminal,
right_common_iliac_artery,-11.871,-120.84,934.6,90.1826241847395,400000,0.0018,5.3578,Artery,,
right_common_iliac_artery,-30.572,-111.23,911.53,57.2937600796663,400000,0.0018,4.2705,Artery,bifurcation,
right_internal_iliac_artery,-29.972,-104.84,899.59,21.7499164823381,400000,0.0018,2.6312,Artery,,
right_internal_iliac_artery,-29.889,-97.617,890.58,19.1898288904325,400000,0.0018,2.4715,Artery,,
right_internal_iliac_artery,-30.538,-89.009,883.73,13.9323816271272,400000,0.0018,2.1059,Artery,,
right_internal_iliac_artery,-31.806,-75.719,876.37,38.2035380232537,400000,0.0018,3.4872,Artery,terminal,
right_external_iliac_artery,-46.443,-92.773,889.17,62.8252230860756,400000,0.0018,4.4719,Artery,,
right_external_iliac_artery,-54.489,-83.096,872.19,58.2286251370092,400000,0.0018,4.3052,Artery,,
right_external_iliac_artery,-57.055,-92.387,843.35,52.4116308482082,400000,0.0018,4.0845,Artery,,
right_external_iliac_artery,-54.256,-118.59,822.45,56.4250272441416,400000,0.0018,4.238,Artery,bifurcation,
right_deep_femoral_artery,-67.559,-133.87,786.52,32.3894395288971,400000,0.0018,3.2109,Artery,,
right_deep_femoral_artery,-79.847,-116.5,763.88,27.5774778636046,400000,0.0018,2.9628,Artery,,
right_deep_femoral_artery,-82.17,-117.57,728.46,23.0500402546832,400000,0.0018,2.7087,Artery,,
right_deep_femoral_artery,-80.689,-109.84,689.31,18.2966886760069,400000,0.0018,2.4133,Artery,,
right_deep_femoral_artery,-79.825,-112.75,639.63,13.8016951112331,400000,0.0018,2.096,Artery,,
right_deep_femoral_artery,-76.74,-116.83,595.34,9.14233247634579,400000,0.0018,1.7059,Artery,,
right_deep_femoral_artery,-71.896,-112.19,556.29,6.18217631752654,400000,0.0018,1.4028,Artery,,
right_deep_femoral_artery,-62.428,-89.607,513.06,2.16591231477468,400000,0.0018,0.83032,Artery,terminal,
right_femoral_artery,-50.318,-135.53,786.91,90.0311995759161,400000,0.0018,5.3533,Artery,,
right_femoral_artery,-48.76,-137.88,744.3,112.487434396951,400000,0.0018,5.9838,Artery,,
right_femoral_artery,-45.412,-136.24,680.01,90.30385548064,400000,0.0018,5.3614,Artery,,
right_femoral_artery,-43.354,-122.07,603.09,88.3039582181578,400000,0.0018,5.3017,Artery,,
right_femoral_artery,-47.215,-110.23,536.78,95.7637400944547,400000,0.0018,5.5211,Artery,,
right_femoral_artery,-60.821,-90.503,475.14,67.6459796714177,400000,0.0018,4.6403,Artery,bifurcation,
right_profundus_artery,-47.662,-108.59,459.38,25.4943124365116,400000,0.0018,2.8487,Artery,,
right_profundus_artery,-40.646,-104.91,439.53,17.2226946065842,400000,0.0018,2.3414,Artery,,
right_profundus_artery,-39.809,-95.269,418.51,10.6801534842593,400000,0.0018,1.8438,Artery,,
right_profundus_artery,-51.037,-103.06,398.44,4.05349901465204,400000,0.0018,1.1359,Artery,terminal,
right_popliteal_artery,-70.116,-76.097,452.03,71.5972773677569,400000,0.0018,4.7739,Artery,,
right_popliteal_artery,-72.996,-63.039,416.32,63.5352820877288,400000,0.0018,4.4971,Artery,,
right_popliteal_artery,-74.649,-57.619,389.9,58.1393931299844,400000,0.0018,4.3019,Artery,,
right_popliteal_artery,-76.789,-59.441,369.01,54.0226709454796,400000,0.0018,4.1468,Artery,,
right_popliteal_artery,-81.428,-66.777,342.33,48.8877277000906,400000,0.0018,3.9448,Artery,,
right_popliteal_artery,-90.681,-73.575,318.51,44.2493608001461,400000,0.0018,3.753,Artery,,
right_popliteal_artery,-90.744,-65.749,300.12,40.7059935063362,400000,0.0018,3.5996,Artery,,
right_popliteal_artery,-88.211,-55.945,286.45,29.8973058113098,400000,0.0018,3.0849,Artery,bifurcation,
right_posterior_tibial_artery,-78.237,-58.058,262.86,25.60361268608,400000,0.0018,2.8548,Artery,,
right_posterior_tibial_artery,-68.83,-60.822,231.81,22.5288271626581,400000,0.0018,2.6779,Artery,,
right_posterior_tibial_artery,-63.005,-64.247,189.21,18.7651601764927,400000,0.0018,2.444,Artery,,
right_posterior_tibial_artery,-60.714,-64.281,137.87,14.8125401209738,400000,0.0018,2.1714,Artery,,
right_posterior_tibial_artery,-54.714,-54.555,73.671,10.4187942440629,400000,0.0018,1.8211,Artery,,
right_posterior_tibial_artery,-57.034,-61.755,3.5545,6.39910957344223,400000,0.0018,1.4272,Artery,,
right_posterior_tibial_artery,-53.224,-60.553,-11.213,5.67730557057397,400000,0.0018,1.3443,Artery,,
right_posterior_tibial_artery,-45.885,-57.082,-24.718,4.91109499846758,400000,0.0018,1.2503,Artery,,
right_posterior_tibial_artery,-54.47,-67.155,-32.406,4.30861644431652,400000,0.0018,1.1711,Artery,,
right_posterior_tibial_artery,-67.675,-86.131,-40.194,2.47416052024621,400000,0.0018,0.88744,Artery,terminal,
right_anterior_tibial_artery,-101.75,-75.917,294.25,36.468645536499,400000,0.0018,3.4071,Artery,,
right_anterior_tibial_artery,-95.728,-86.8,267.05,34.5945226270536,400000,0.0018,3.3184,Artery,,
right_anterior_tibial_artery,-92.73,-94.407,226.85,31.9090591931393,400000,0.0018,3.187,Artery,,
right_anterior_tibial_artery,-92.016,-93.791,179.61,29.1097964662332,400000,0.0018,3.044,Artery,,
right_anterior_tibial_artery,-88.747,-89.484,122.33,25.7796993313049,400000,0.0018,2.8646,Artery,,
right_anterior_tibial_artery,-84.941,-90.357,79.647,23.4208376289496,400000,0.0018,2.7304,Artery,,
right_anterior_tibial_artery,-76.243,-95.44,40.483,20.9619804461473,400000,0.0018,2.5831,Artery,,
right_anterior_tibial_artery,-70.683,-91.838,6.7363,17.7459235015354,400000,0.0018,2.3767,Artery,terminal,
celiac_artery,6.7566,-118.44,1083.3,61.1700723261781,400000,0.0018,4.4126,Artery,,
celiac_artery,5.6096,-127.69,1081.2,29.3973935657061,400000,0.0018,3.059,Artery,trifurcation,
splenic_artery,9.447,-129.85,1079.4,19.4484742029833,400000,0.0018,2.4881,Artery,,
splenic_artery,14.476,-129.66,1075.9,14.4006868745298,400000,0.0018,2.141,Artery,,
splenic_artery,22.367,-124.71,1072.8,10.7149365698013,400000,0.0018,1.8468,Artery,,
splenic_artery,30.195,-116.17,1072.5,8.45065807490141,400000,0.0018,1.6401,Artery,,
splenic_artery,38.867,-110.37,1074.2,7.55839298252533,400000,0.0018,1.5511,Artery,,
splenic_artery,49.439,-105.89,1076.8,4.31745085418582,400000,0.0018,1.1723,Artery,,
splenic_artery,62.074,-101.02,1080.1,5.27422666674778,400000,0.0018,1.2957,Artery,,
splenic_artery,78.856,-100.27,1084.6,2.74986726580839,400000,0.0018,0.93558,Artery,terminal,
hepatic_artery,0.88106,-133.37,1079.5,14.0557087109028,400000,0.0018,2.1152,Artery,,
hepatic_artery,-4.0411,-138.07,1077.4,12.2107808104828,400000,0.0018,1.9715,Artery,,
hepatic_artery,-9.7874,-139.91,1079.3,12.1934447482381,400000,0.0018,1.9701,Artery,,
hepatic_artery,-13.409,-140.77,1083.5,10.4302396944185,400000,0.0018,1.8221,Artery,terminal,
left_gastric_artery,11.649,-131.73,1086.7,7.41001691238113,400000,0.0018,1.5358,Artery,,
left_gastric_artery,16.105,-134.04,1093.2,5.94735159720089,400000,0.0018,1.3759,Artery,,
left_gastric_artery,19.292,-132.18,1105.8,5.15603592988114,400000,0.0018,1.2811,Artery,,
left_gastric_artery,20.292,-128.37,1117.3,4.55485950305313,400000,0.0018,1.2041,Artery,,
left_gastric_artery,21.38,-130.72,1124.4,4.02926929281568,400000,0.0018,1.1325,Artery,,
left_gastric_artery,22.419,-136.18,1124.6,3.18256609037607,400000,0.0018,1.0065,Artery,,
left_gastric_artery,22.394,-146.17,1118.8,5.05112806666536,400000,0.0018,1.268,Artery,,
left_gastric_artery,23.688,-154.24,1113.3,4.82583930526448,400000,0.0018,1.2394,Artery,,
left_gastric_artery,25.293,-163.07,1103,4.95045287123176,400000,0.0018,1.2553,Artery,,
left_gastric_artery,20.86,-168.08,1090,4.84610773009209,400000,0.0018,1.242,Artery,terminal,
